node_idx,node,phy_id,power_w_mean,aicore_pct_mean,n_power,n_aicore
0,montyyin-moe96-r2-master-0,0,456.64875,30.75,80,80
0,montyyin-moe96-r2-master-0,1,,32.325,0,80
0,montyyin-moe96-r2-master-0,2,458.5062500000001,31.55,80,80
0,montyyin-moe96-r2-master-0,3,,32.475,0,80
0,montyyin-moe96-r2-master-0,4,457.00374999999997,32.3125,80,80
0,montyyin-moe96-r2-master-0,5,,32.4875,0,80
0,montyyin-moe96-r2-master-0,6,459.04375,31.1125,80,80
0,montyyin-moe96-r2-master-0,7,,31.7125,0,80
0,montyyin-moe96-r2-master-0,8,468.27375,32.375,80,80
0,montyyin-moe96-r2-master-0,9,,31.3125,0,80
0,montyyin-moe96-r2-master-0,10,500.71375000000006,34.8625,80,80
0,montyyin-moe96-r2-master-0,11,,36.3625,0,80
0,montyyin-moe96-r2-master-0,12,481.2037500000001,32.8,80,80
0,montyyin-moe96-r2-master-0,13,,33.3625,0,80
0,montyyin-moe96-r2-master-0,14,478.27,33.4125,80,80
0,montyyin-moe96-r2-master-0,15,,33.5875,0,80
1,montyyin-moe96-r2-worker-0,0,484.6812499999999,33.65,80,80
1,montyyin-moe96-r2-worker-0,1,,33.45,0,80
1,montyyin-moe96-r2-worker-0,2,466.2012499999999,33.475,80,80
1,montyyin-moe96-r2-worker-0,3,,33.25,0,80
1,montyyin-moe96-r2-worker-0,4,456.8137499999999,29.7875,80,80
1,montyyin-moe96-r2-worker-0,5,,30.95,0,80
1,montyyin-moe96-r2-worker-0,6,463.75374999999997,31.875,80,80
1,montyyin-moe96-r2-worker-0,7,,31.5875,0,80
1,montyyin-moe96-r2-worker-0,8,464.0687499999999,30.2375,80,80
1,montyyin-moe96-r2-worker-0,9,,33.0375,0,80
1,montyyin-moe96-r2-worker-0,10,455.1424999999999,32.7375,80,80
1,montyyin-moe96-r2-worker-0,11,,32.8625,0,80
1,montyyin-moe96-r2-worker-0,12,453.41749999999985,32.1125,80,80
1,montyyin-moe96-r2-worker-0,13,,30.6625,0,80
