node_idx,node,phy_id,power_w_mean,aicore_pct_mean,n_power,n_aicore
0,montyyin-moe96-r2-master-0,0,540.0135135135133,41.945945945945944,37,37
0,montyyin-moe96-r2-master-0,1,,35.5945945945946,0,37
0,montyyin-moe96-r2-master-0,2,517.1459459459461,36.810810810810814,37,37
0,montyyin-moe96-r2-master-0,3,,39.0,0,37
0,montyyin-moe96-r2-master-0,4,508.5513513513514,34.945945945945944,37,37
0,montyyin-moe96-r2-master-0,5,,33.729729729729726,0,37
0,montyyin-moe96-r2-master-0,6,514.2891891891892,35.5945945945946,37,37
0,montyyin-moe96-r2-master-0,7,,38.45945945945946,0,37
0,montyyin-moe96-r2-master-0,8,598.0216216216216,47.24324324324324,37,37
0,montyyin-moe96-r2-master-0,9,,50.351351351351354,0,37
0,montyyin-moe96-r2-master-0,10,634.7405405405406,51.45945945945946,37,37
0,montyyin-moe96-r2-master-0,11,,50.45945945945946,0,37
0,montyyin-moe96-r2-master-0,12,594.0783783783784,46.486486486486484,37,37
0,montyyin-moe96-r2-master-0,13,,47.2972972972973,0,37
0,montyyin-moe96-r2-master-0,14,591.172972972973,47.24324324324324,37,37
0,montyyin-moe96-r2-master-0,15,,47.21621621621622,0,37
1,montyyin-moe96-r2-worker-0,0,160.5105263157894,0.0,38,38
1,montyyin-moe96-r2-worker-0,1,,0.0,0,38
1,montyyin-moe96-r2-worker-0,2,160.45263157894738,0.0,38,38
1,montyyin-moe96-r2-worker-0,3,,0.0,0,38
1,montyyin-moe96-r2-worker-0,4,160.8684210526316,0.0,38,38
1,montyyin-moe96-r2-worker-0,5,,0.0,0,38
1,montyyin-moe96-r2-worker-0,6,163.63684210526316,0.0,38,38
1,montyyin-moe96-r2-worker-0,7,,0.0,0,38
1,montyyin-moe96-r2-worker-0,8,168.58947368421053,0.0,38,38
1,montyyin-moe96-r2-worker-0,9,,0.0,0,38
1,montyyin-moe96-r2-worker-0,10,162.13157894736844,0.0,38,38
1,montyyin-moe96-r2-worker-0,11,,0.0,0,38
1,montyyin-moe96-r2-worker-0,12,156.94473684210524,0.0,38,38
1,montyyin-moe96-r2-worker-0,13,,0.0,0,38
1,montyyin-moe96-r2-worker-0,14,166.38947368421054,0.0,38,38
1,montyyin-moe96-r2-worker-0,15,,0.0,0,38
2,montyyin-moe96-r2-worker-1,0,159.72368421052636,0.0,38,38
2,montyyin-moe96-r2-worker-1,1,,0.0,0,38
2,montyyin-moe96-r2-worker-1,2,161.18947368421047,0.0,38,38
2,montyyin-moe96-r2-worker-1,3,,0.0,0,38
2,montyyin-moe96-r2-worker-1,4,168.2736842105263,0.0,38,38
2,montyyin-moe96-r2-worker-1,5,,0.0,0,38
2,montyyin-moe96-r2-worker-1,6,166.62631578947364,0.0,38,38
2,montyyin-moe96-r2-worker-1,7,,0.0,0,38
2,montyyin-moe96-r2-worker-1,8,161.08947368421053,0.0,38,38
2,montyyin-moe96-r2-worker-1,9,,0.0,0,38
2,montyyin-moe96-r2-worker-1,10,164.58157894736846,0.0,38,38
2,montyyin-moe96-r2-worker-1,11,,0.0,0,38
2,montyyin-moe96-r2-worker-1,12,167.4157894736842,0.0,38,38
2,montyyin-moe96-r2-worker-1,13,,0.0,0,38
2,montyyin-moe96-r2-worker-1,14,158.62105263157898,0.0,38,38
2,montyyin-moe96-r2-worker-1,15,,0.0,0,38
3,montyyin-moe96-r2-worker-2,0,159.59189189189192,0.0,37,37
3,montyyin-moe96-r2-worker-2,1,,0.0,0,37
