section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2001550.7800781247,-1227448.2433203128,0.3801327391014369,-133492.31875781342,0.0413417030449629,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_communication,remove communication->communication dependency,3095506.704640624,-133492.31875781342,0.0413417030449629,-133492.31875781342,0.0413417030449629,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_compute,remove communication->compute dependency,2514632.3682109374,-714366.6551875002,0.2212347077255068,-133492.31875781342,0.0413417030449629,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_communication,remove compute->communication dependency,2388093.014742187,-840906.0086562503,0.2604231226342146,-133492.31875781342,0.0413417030449629,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_compute,remove compute->compute dependency,1983580.6106718746,-1245418.412726563,0.38569798371007014,-133492.31875781342,0.0413417030449629,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,between_compute_and_communication,remove all compute<->communication dependency,1949437.9206640625,-1279561.102734375,0.3962717527822818,-118867.62946093734,0.03681253187120269,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,3110131.3939375,-118867.62946093734,0.03681253187120269,-118867.62946093734,0.03681253187120269,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,2582222.7677812497,-646776.2556171878,0.20030240050567516,-118867.62946093734,0.03681253187120269,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2428782.652546875,-800216.3708515624,0.24782180640282617,-118867.62946093734,0.03681253187120269,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,1927854.325859375,-1301144.6975390625,0.40295605173941534,-118867.62946093734,0.03681253187120269,,,,
