section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2360358.7235546876,-605711.3223593747,0.20421342482918706,159709.41467187554,0.05384546291881567,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3_para,communication_to_communication,remove communication->communication dependency,3125779.460585938,159709.41467187554,0.05384546291881567,159709.41467187554,0.05384546291881567,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3_para,communication_to_compute,remove communication->compute dependency,2722227.732171875,-243842.31374218734,0.08221057155345829,159709.41467187554,0.05384546291881567,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3_para,compute_to_communication,remove compute->communication dependency,2504357.443578125,-461712.6023359373,0.15566476690999725,159709.41467187554,0.05384546291881567,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3_para,compute_to_compute,remove compute->compute dependency,2038818.791539062,-927251.2543750003,0.3126194729124297,159709.41467187554,0.05384546291881567,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5_para,between_compute_and_communication,remove all compute<->communication dependency,2134365.7545859376,-831704.2913281247,0.28040615307580036,85749.21447656304,0.02891004364333461,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5_para,communication_to_communication,remove communication->communication dependency,3051819.2603906253,85749.21447656304,0.02891004364333461,85749.21447656304,0.02891004364333461,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5_para,communication_to_compute,remove communication->compute dependency,2496129.7552265623,-469940.29068750003,0.15843870286707176,85749.21447656304,0.02891004364333461,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5_para,compute_to_communication,remove compute->communication dependency,2282636.6748046875,-683433.3711093748,0.2304171380075278,85749.21447656304,0.02891004364333461,,,,
detail,GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5_para,compute_to_compute,remove compute->compute dependency,2112694.042976563,-853376.0029374994,0.28771269380946535,85749.21447656304,0.02891004364333461,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2001550.7800781247,-1227448.2433203128,0.3801327391014369,-133492.31875781342,0.0413417030449629,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_communication,remove communication->communication dependency,3095506.704640624,-133492.31875781342,0.0413417030449629,-133492.31875781342,0.0413417030449629,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_compute,remove communication->compute dependency,2514632.3682109374,-714366.6551875002,0.2212347077255068,-133492.31875781342,0.0413417030449629,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_communication,remove compute->communication dependency,2388093.014742187,-840906.0086562503,0.2604231226342146,-133492.31875781342,0.0413417030449629,,,,
