section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,between_compute_and_communication,remove all compute<->communication dependency,1151288.131,-367434.264140625,0.24193642321749176,-126313.94551171851,0.08317118777985924,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,communication_to_communication,remove communication->communication dependency,1392408.4496289066,-126313.94551171851,0.08317118777985924,-126313.94551171851,0.08317118777985924,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,communication_to_compute,remove communication->compute dependency,1251161.1532539064,-267561.24188671866,0.1761752132863913,-126313.94551171851,0.08317118777985924,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,compute_to_communication,remove compute->communication dependency,1252134.8959062495,-266587.49923437554,0.17553405420724771,-126313.94551171851,0.08317118777985924,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,compute_to_compute,remove compute->compute dependency,1227059.5323046867,-291662.86283593834,0.19204488178297524,-126313.94551171851,0.08317118777985924,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,between_compute_and_communication,remove all compute<->communication dependency,1151288.131,-367434.264140625,0.24193642321749176,-130381.68919921876,0.0858495862156205,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,communication_to_communication,remove communication->communication dependency,1388340.7059414063,-130381.68919921876,0.0858495862156205,-130381.68919921876,0.0858495862156205,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,communication_to_compute,remove communication->compute dependency,1252112.6163984376,-266609.7787421874,0.17554872410866165,-130381.68919921876,0.0858495862156205,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,compute_to_communication,remove compute->communication dependency,1251756.130710937,-266966.264429688,0.17578345146149532,-130381.68919921876,0.0858495862156205,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,compute_to_compute,remove compute->compute dependency,1227089.4723984373,-291632.92274218774,0.1920251677826771,-130381.68919921876,0.0858495862156205,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_26,between_compute_and_communication,remove all compute<->communication dependency,1295621.1530000002,-441446.99679687456,0.25413337804190095,-134167.89670312474,0.07723813065066777,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_26,communication_to_communication,remove communication->communication dependency,1602900.25309375,-134167.89670312474,0.07723813065066777,-134167.89670312474,0.07723813065066777,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_26,communication_to_compute,remove communication->compute dependency,1413260.5189257814,-323807.63087109337,0.1864104358306023,-134167.89670312474,0.07723813065066777,,,,
